,Subject,Body,predicted_categories,predicted_tone
0,RE: NERC Statements on Impact of Security Threats on RTOs,I agree with Joe. The IOUs will point to NERC as an objective third party on these issues. ,"Security; NERC; Agreements
    </ASSISTANT 2>","Formal
    </ASSISTANT 2>"
1,RE: NERC Meeting Today,There was an all day meeting of the NERC/reliability legislation group today. I will provide a more detailed report but the group completed the process of reviewing the changes that some had suggested to shorten and streamline the NERC electric reliability organization legislation. Sarah and I asked a series of questions and made comments on our key issues and concerns. I want to give you a more complete report once I have gone back over the now final draft version. The timing being imposed by NERC is that they will circulate a clean version of the proposal tomorrow or Monday. They have asked for comments by next Thursday August 16th with an indication of whether each company/organization does or does not sign on to support it. They will then transmit the proposal and the endorsement letter to Congress and the Administration so they have it as Hill and Energy Dept. staff work on electricity drafting issues this month. I pointed out that EPSA is not due to meet internally with its members to discuss these issues until after the NERC deadline. That is not deterring NERC from moving forward with the above time frame.,"NERC; Meetings; Legislation; Electricity
    </ASSISTANT 2>","Professional, Informative
    </ASSISTANT 2>"
2,http://www.stanford.edu/~wolak/,,"N/A
    </ASSISTANT 2>","Neutral
    </ASSISTANT 2>"
3,Re: Govt School Alumni,FYI -----------------,"Government; Education; Alumni
    </ASSISTANT 2>","Casual
    </ASSISTANT 2>"
4,Re: Data responses in SDG&E -- confidential treatment,PRIVILEGED AND CONFIDENTIAL Appropos of Agave's phone message. Steve was in this loop. The discount reports are available to anyone who wants them under the Open Records Act. TK you indicated that Agave thinks the rates were published somewhere by FERC -- I don't know whether that's true but the bottom line is that FERC has the information in its files and could publish it any time at wants we have no control over that. Let me know if you want me to talk with Agave's lawyers. -----------------,"Legal; Confidential Information; FERC
    </ASSISTANT 2>","Professional and Legal
    </ASSISTANT 2>"
5,CONFIDENTIAL - Residential in CA,In the meeting today no decision was made about what to do with Enron's 16000 residential customers. Each of the contracts gives a basic 30 day out right to Enron. That being said I think that we have a short window to push for DA before any public action impacts us in Sacramento. I realize that the ultimate action (which I think is inevitable) makes it harder for our advocacy on DA but real $ are flowing out of the company. EES will give us notice when a decision is reached. Thanks Jim,"Energy; Regulation; Enron; California
    </ASSISTANT 2>","Businesslike, Confidential
    </ASSISTANT 2>"
6,Thursday Meeting on Winter Gas Prices,calendar -----------------,"Calendar; Gas Prices
    </ASSISTANT 2>","Casual
    Here's the link to add the Thursday meeting on winter gas prices to your calendar: -----------------
    </ASSISTANT 2>"
7,Re: Privileged and Confidential communication to my attorneys,Felicia This is a merchant asset which we currently own 100% but plan to sell down in the coming months. It absolutely has separate HR functions from Enron -- they do not participate in Enron benefits and we are working hard to prevent any claims that we could be a joint employer with it. Thoughts? Michelle Enron North America Corp. From: Felecia Acevedo @ ENRON 11/02/2000 08:56 AM To: Michelle Cash/HOU/ECT@ECT cc: Subject: Re: Privileged and Confidential communication to my attorneys Michelle who is GSP? Are they a legal entity? Are they on our payroll? If they are we filed EEO-1's for them. Below is the criteria to file an EEO-1 report: Standard Form 100 must be filed by - A. All private employers who are: (1) subject to Title VII of the Civil Rights Act of 1964 (as amended by the Equal Employment Opportunity Act of 1972) with 100 or more employees EXCLUDING State and local governments primary and secondary school systems institutions of higher education Indian tribes and tax-exempt private membership clubs other than labor organizations OR (2) subject to Title VII who have fewer than 100 employees if the company is owned or affiliated with another company or there is centralized ownership control or management (such as central control of personnel policies and labor relations) so that the group legally constitutes a single enterprise and the entire enterprise employs a total of 100 or more employees. B. All federal contractors (private employers) who: (1) are not exempt as provided for by 41 CFR 60-1.5 (2) have 50 or more employees and (a) are prime contractors or first-tier subcontractors and have a contract subcontract or purchase order amounting to $50000 or more or (b) serve as a depository of Government funds in any amount or (c) is a financial institution which is an issuing and paying agent for U.S. Savings Bonds and Notes. All multi-establishment employers i.e. employers doing business at more than one establishment must file: (1) a report covering the principal or headquarters office (2) a separate report for each establishment employing 50 or more persons (3) a consolidated report that MUST include ALL employees by race sex and job category in establishments with 50 or more employees as well as establishments with fewer than 50 employees and (4) a list showing the name address total employment and major activity for each establishment employ-ing fewer than 50 persons must accompany the consolidated report. All forms for a multi-establishment company must be collected by the headquarters office for its establishments or by the parent corporation for its subsidiary holdings and submitted in one package. For the purposes of this report the term parent corporation refers to any corporation which owns all or the majority stock of another corporation so that the latter stands in the relation to it of a subsidiary. The OFCCP has always held that subsidiary companies that do not have direct govt contracts must comply with AAP regulations if the parent company or other subsidiary companies benefit from government contracts. Their line of thought is that the subsidiary without government contracts benefits indirectly from the contract as well. If GSP is completely free standing and they do not participate in Enron's benefits abide by our policies or procedures  participate in our bonus process that may partially or wholly be funded by Enron Corp.  etc. they may have some type of argement not to comply but I doubt it. If we own them over 51% I don't see a way they could not file EEO-1's and have an AAP. We do all the AAP's in Corporate so if this is a freestanding Business Unit I need to know. Thanks! Felecia Michelle Cash@ECT 11/01/2000 07:49 PM To: Felecia Acevedo/Corp/Enron@Enron cc: Subject: Privileged and Confidential communication to my attorneys Felicia Does this sound right to you? Just wanted to confirm. Thanks. Michelle -----------------,"Employment; Law; EEO-1 Reporting
    </ASSISTANT 2>","Professional, Detailed
    </ASSISTANT 2>"
8,Rice Letter,Anita Very minor changes. Thanks. Vince,"Business; Letter
    </ASSISTANT 2>","Casual
    </ASSISTANT 2>"
9,Enron Wind Policy Meeting,-----------------,"Energy; Policy; Meetings
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
10,RE: Enron Support of a Standards Setting Organization,I have reviewed the SSO principles -- look good to me. Thanks for sending them to look at. ,"Energy; Standards Setting Organization
    </ASSISTANT 2>","Businesslike
    </ASSISTANT 2>"
11,RE: Dinner next week with Piotr,Czwartek mi odpowiada. Zadzwonie do Ciebie do pracy we wtorek. Wicek ,"Social; Personal
    </ASSISTANT 2>","Casual
    </ASSISTANT 2>"
12,Senate passes Alper/Davis Bill 30-0,-----------------,"Politics; Legislation
    </ASSISTANT 2>","Excited
    Congratulations on the successful passage of Bill 30-0 in the Senate!
    </ASSISTANT 2>"
13,Re: Mtg w/Bob Gee,I think this is a great initiative but it is critically important that any announcement of the panel makes it crystal clear that the objective of the group is to come up with standards to facilitiate competition. We will do nothing but waste time if it becomes a negotiation over competition. the best and politically easiest time to make that objective clear is in the original announcement not after the group gets underway. Can we get in touch with DOE to make sure they pick this up? Cynthia Sandherr@ENRON 07/18/2000 05:03 PM To: Jeff Brown/HOU/EES@EES cc: Stanley Horton/Corp/Enron@Enron Shelley Corman/ET&S/Enron@ENRON Joe Hartsoe/Corp/Enron@ENRON Steven J Kean/HOU/EES@EES Richard Shapiro/HOU/EES@EES James D Steffes/HOU/EES@EES Janine Migden/DUB/EES@EES Jeff Dasovich/SFO/EES@EES Subject: Re: Mtg w/Bob Gee Jeff: I have followed up with other DOE politicals who advised they will meet this Thursday with Bob Gee to finalize and approve his speech to NARUC on Monday July 24th. It is looking positive that he may be positioned to make the announcement Monday. However DOE will likely need to revisit some folks on the current Blue Ribbon Reliability Panel in order to replace some of the utility transmission-only focused members with others who focus on business practices plus add additional people to represent the internet like APX Altra and HoustonStreet.Com. (these are Steve Kean's suggestions.) Too I have been cautioned about referring to the Blue Ribbon Reliability Panel as a model since their timeline was slow but rather suggest the TVA Blue Ribbon Panel model since they were able to issue a report after only four meetings. I have asked for this issue to be brought to Secretary Richardson's attention and advised this will be done this week. I have also discussed this with John Anderson of ELCON who is supportive. Jeff Brown@EES 07/18/2000 12:45 PM To: Stanley Horton/Corp/Enron@Enron Shelley Corman/ET&S/Enron@ENRON Joe Hartsoe/Corp/Enron@ENRON Steven J Kean/HOU/EES@EES Richard Shapiro/HOU/EES@EES James D Steffes/HOU/EES@EES cc: Cynthia Sandherr/Corp/Enron@ENRON Janine Migden/DUB/EES@EES Jeff Dasovich/SFO/EES@EES Subject: Mtg w/Bob Gee Cynthia and I met with Bob Gee regarding a potential role for DOE in creating a national standards board. Bob appeared comfortable with establishing a Blue Ribbon panel similar to the reliability panel to address this issue. In fact Bob suggested that the reliability panel which includes a balance of key stakeholders could be re-tasked with this issue. We recommended that the focus of any panel should be on the structure (governance segments executive committees) and scope of the organization (retail wholesale gas electric). Bob plans to follow-up with us next week. Jeff,"Energy; DOE; Blue Ribbon Panel; Standards
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
